Reporter Identifier	VALUE
A_51_P104960	5.1810884
A_51_P104977	-1.6725726
A_51_P105000	-6.2568974
A_51_P105017	-0.17581081
A_51_P105068	-6.251996
A_51_P105078	2.9803057
A_51_P105124	-1.5454535
A_51_P105161	-1.924243
A_51_P105178	0.84516335
A_51_P105241	-2.5897636
A_51_P105263	-0.17640781
A_51_P105292	-6.2822638
A_51_P105320	1.3303108
A_51_P105339	4.7051477
A_51_P105380	-2.591434
A_51_P105408	2.209096
A_51_P105445	-1.4879761
A_51_P105480	-4.238547
A_51_P105520	5.5751247
A_51_P105554	-5.8221073
A_51_P105589	4.761834
A_51_P105604	1.2619467
A_51_P105709	3.5007544
A_51_P105755	-1.8159523
A_51_P105766	-6.252634
A_51_P105800	-2.4135442
A_51_P105810	3.5395107
A_51_P105822	-5.3469
A_51_P105837	2.6577806
A_51_P105847	-6.2309303
A_51_P105869	-1.6290727
A_51_P105879	-6.2574544
A_51_P105887	-6.2706823
A_51_P105908	-3.192038
A_51_P105927	-1.3842993
A_51_P105986	3.091917
A_51_P105991	-1.8207035
A_51_P106000	-2.0878582
A_51_P106059	4.925333
A_51_P106114	-6.260685
A_51_P106144	1.8746929
A_51_P106191	1.1362562
A_51_P106202	-6.2593327
A_51_P106211	0.20583534
A_51_P106227	3.297472
A_51_P106249	-5.1217575
A_51_P106259	1.4567127
A_51_P106263	0.47261143
A_51_P106269	-6.253366
A_51_P106294	-6.2300615
A_51_P106322	1.387661
A_51_P106373	4.0014563
A_51_P106377	-6.2682724
A_51_P106397	-2.015955
A_51_P106428	3.509945
A_51_P106443	-1.6127939
A_51_P106455	-6.263756
A_51_P106474	0.3903103
A_51_P106488	3.4996471
A_51_P106527	3.690236
A_51_P106538	0.45259666
A_51_P106591	-4.3127904
A_51_P106634	-6.25327
A_51_P106735	-6.2591553
A_51_P106743	3.5852423
A_51_P106745	1.8163471
A_51_P106752	-1.9176993
A_51_P106779	-0.1469984
A_51_P106799	-1.7507334
A_51_P106859	3.7833767
A_51_P106868	3.1071215
A_51_P106893	-2.9384875
A_51_P106900	-6.2527924
A_51_P106918	-6.258951
A_51_P106952	0.732955
A_51_P106968	-6.3316145
A_51_P106979	-6.262457
A_51_P107020	-4.8226833
A_51_P107039	-5.484583
A_51_P107053	-6.3409467
A_51_P107066	-0.9749527
A_51_P107090	2.0074892
A_51_P107099	-6.2525043
A_51_P107126	3.4276505
A_51_P107140	-6.264038
A_51_P107176	-6.2381463
A_51_P107234	4.185441
A_51_P107243	-0.8394642
A_51_P107265	2.7236156
A_51_P107282	0.91916275
A_51_P107302	-3.2768984
A_51_P107315	-6.1602354
A_51_P107321	4.2132072
A_51_P107326	6.7351
A_51_P107362	-0.20570755
A_51_P107373	-6.3764906
A_51_P107378	2.9867506
A_51_P107433	3.662796
A_51_P107438	-0.002850533
A_51_P107463	-6.1293364
A_51_P107547	2.1182537
A_51_P107558	-6.243048
A_51_P107591	-2.5034199
A_51_P107599	4.6951447
A_51_P107633	-6.2707863
A_51_P107652	-6.2645054
A_51_P107658	-4.55865
A_51_P107673	-6.2974052
A_51_P107686	1.4220066
A_51_P107701	-6.270491
A_51_P107722	-6.257585
A_51_P107738	-6.260043
A_51_P107752	-1.7302604
A_51_P107765	-6.0467606
A_51_P107782	1.5256634
A_51_P107807	-6.1428943
A_51_P107808	-1.8603654
A_51_P107901	-6.360084
A_51_P107934	-6.234912
A_51_P107938	-2.693068
A_51_P107959	-6.2664433
A_51_P107985	-6.2225027
A_51_P107991	-2.1670241
A_51_P107998	-3.1184878
A_51_P108020	-3.5000377
A_51_P108031	-6.253866
A_51_P108038	-6.306021
A_51_P108051	3.6609335
A_51_P108072	-5.535489
A_51_P108108	-3.3317304
A_51_P108131	-0.68062115
A_51_P108173	1.256176
A_51_P108183	-6.1883698
A_51_P108190	3.9138632
A_51_P108226	-4.5774074
A_51_P108228	-6.3041105
A_51_P108252	2.4959211
A_51_P108266	-5.1143713
A_51_P108269	2.451373
A_51_P108309	-6.286352
A_51_P108334	7.630105
A_51_P108384	-4.9370694
A_51_P108408	1.3813629
A_51_P108428	-3.3285513
A_51_P108432	-6.349537
A_51_P108459	-3.7107615
A_51_P108478	2.5979366
A_51_P108484	2.2358103
A_51_P108489	3.091467
A_51_P108525	1.5567398
A_51_P108555	-6.4187217
A_51_P108573	-1.7290392
A_51_P108581	-6.2728205
A_51_P108606	-6.399043
A_51_P108629	-1.9092379
A_51_P108645	-1.5757599
A_51_P108659	-5.63984
A_51_P108701	5.342409
A_51_P108723	1.7504644
A_51_P108731	0.16083431
A_51_P108741	-6.236927
A_51_P108757	3.0307035
A_51_P108767	0.003961563
A_51_P108778	0.70657253
A_51_P108779	2.8659525
A_51_P108788	-6.0418005
A_51_P108812	-6.24308
A_51_P108853	-0.006174088
A_51_P108862	5.861867
A_51_P108891	2.842348
A_51_P108901	2.33774
A_51_P108923	-3.6781564
A_51_P108935	2.3495188
