Reporter Identifier	VALUE
A_51_P100021	-6.419294
A_51_P100034	2.2634296
A_51_P100052	-6.141291
A_51_P100063	-6.6800747
A_51_P100084	-2.8480825
A_51_P100099	0.18046093
A_51_P100155	2.561181
A_51_P100174	3.78098
A_51_P100181	-1.283967
A_51_P100218	-6.686172
A_51_P100227	2.5832148
A_51_P100238	-6.0594807
A_51_P100246	3.1197166
A_51_P100289	2.2332802
A_51_P100298	-2.9900265
A_51_P100309	-6.388726
A_51_P100327	-1.8543859
A_51_P100347	-6.4445424
A_51_P100379	-3.1476774
A_51_P100428	-6.592659
A_51_P100470	-3.3920813
A_51_P100505	-0.40077305
A_51_P100519	-6.4434195
A_51_P100527	-6.684116
A_51_P100537	-6.323439
A_51_P100565	0.7876873
A_51_P100573	-0.7188206
A_51_P100624	-6.527589
A_51_P100625	-4.58746
A_51_P100768	-6.655514
A_51_P100776	-4.632559
A_51_P100787	2.7990437
A_51_P100828	3.1729603
A_51_P100852	-3.8490334
A_51_P100856	-0.03489685
A_51_P100866	6.587989
A_51_P100991	-2.8455296
A_51_P100997	-2.8789163
A_51_P101004	-6.5441966
A_51_P101006	-1.2014103
A_51_P101022	-6.1618824
A_51_P101034	-3.2310581
A_51_P101065	-6.4335594
A_51_P101075	4.580081
A_51_P101086	-1.2838306
A_51_P101137	2.5275602
A_51_P101146	-6.6619196
A_51_P101170	-6.682149
A_51_P101196	4.4413385
A_51_P101228	-1.3009048
A_51_P101255	3.206582
A_51_P101283	-4.2037396
A_51_P101317	0.38537312
A_51_P101347	-5.038334
A_51_P101375	-3.2842064
A_51_P101388	-1.8414583
A_51_P101425	-1.8143954
A_51_P101460	-6.6868725
A_51_P101474	-3.2360187
A_51_P101506	-2.1123357
A_51_P101545	-4.121396
A_51_P101573	2.9703894
A_51_P101576	-0.09639168
A_51_P101588	-4.2793593
A_51_P101621	0.85759544
A_51_P101627	-6.6856103
A_51_P101635	5.071945
A_51_P101660	-1.403933
A_51_P101719	-1.3096056
A_51_P101729	-6.673627
A_51_P101763	-3.9827003
A_51_P101765	0.30515194
A_51_P101777	0.9725647
A_51_P101787	-0.65300846
A_51_P101858	-2.814649
A_51_P101879	3.9497852
A_51_P101929	3.1659336
A_51_P101950	-6.6398754
A_51_P101955	2.924511
A_51_P101975	-3.2156754
A_51_P101985	-6.504043
A_51_P102005	-6.2575045
A_51_P102081	-6.701721
A_51_P102090	-5.569519
A_51_P102096	2.1071014
A_51_P102106	-6.6273146
A_51_P102122	-6.318354
A_51_P102174	-2.3871627
A_51_P102180	-5.454258
A_51_P102235	4.030032
A_51_P102249	-6.6691885
A_51_P102257	-5.0327473
A_51_P102296	-2.8457346
A_51_P102311	-1.0528975
A_51_P102319	-3.2021818
A_51_P102339	0.232337
A_51_P102355	-2.7181869
A_51_P102393	-6.6846704
A_51_P102421	-4.7464395
A_51_P102438	-6.675294
A_51_P102459	-4.513702
A_51_P102471	-4.6642356
A_51_P102487	-6.247296
A_51_P102503	1.7388973
A_51_P102507	1.0350447
A_51_P102518	-6.020643
A_51_P102538	-6.6371126
A_51_P102607	-6.6780806
A_51_P102631	0.42550087
A_51_P102652	-0.022738457
A_51_P102731	-6.6573753
A_51_P102734	-3.3403568
A_51_P102740	-6.5496526
A_51_P102782	1.5469799
A_51_P102789	0.8240099
A_51_P102809	2.1281004
A_51_P102860	-0.34935093
A_51_P102867	-0.80101395
A_51_P102883	-3.1301417
A_51_P102911	0.6375418
A_51_P102943	0.21311474
A_51_P102970	-6.63201
A_51_P102987	-6.202256
A_51_P103000	3.0303602
A_51_P103007	-5.735989
A_51_P103054	-6.6609526
A_51_P103069	1.6754198
A_51_P103081	-4.0459094
A_51_P103114	-3.3721347
A_51_P103117	-6.55428
A_51_P103133	-4.314279
A_51_P103144	-6.6586084
A_51_P103172	-5.222449
A_51_P103179	-6.6569963
A_51_P103209	2.3394632
A_51_P103222	-2.5072293
A_51_P103229	0.59806347
A_51_P103237	-1.0548983
A_51_P103254	-4.090117
A_51_P103261	-6.57684
A_51_P103298	-5.460612
A_51_P103320	-1.5553012
A_51_P103328	-6.642062
A_51_P103364	-5.390214
A_51_P103396	-2.376217
A_51_P103397	-0.27833652
A_51_P103406	-2.6829524
A_51_P103435	-6.6820707
A_51_P103450	-6.689806
A_51_P103465	-4.5304375
A_51_P103499	-5.137166
A_51_P103509	2.3150053
A_51_P103533	-1.1352472
A_51_P103541	-3.2582293
A_51_P103560	-5.7684913
A_51_P103586	-4.9390364
A_51_P103594	-3.929614
A_51_P103617	-6.682954
A_51_P103650	1.8924265
A_51_P103659	1.3323383
A_51_P103706	-6.691122
A_51_P103718	3.0237331
A_51_P103745	-2.6381998
A_51_P103757	3.3408346
A_51_P103780	2.125043
A_51_P103819	-5.397244
A_51_P103850	-6.2978916
A_51_P103865	0.912755
A_51_P103890	-6.6150646
A_51_P103912	-6.669952
A_51_P103929	1.1053019
A_51_P103945	-6.4758854
A_51_P103975	2.7305574
A_51_P104006	-0.78768253
A_51_P104012	-0.5076761
