Reporter Identifier	VALUE
A_51_P104960	4.9339523
A_51_P104977	-1.6792216
A_51_P105000	-6.5018005
A_51_P105017	-0.113677025
A_51_P105068	-6.4648886
A_51_P105078	2.6894388
A_51_P105124	-1.7579727
A_51_P105161	-2.218307
A_51_P105178	1.078207
A_51_P105241	-3.0303311
A_51_P105263	-0.0647459
A_51_P105292	-6.549278
A_51_P105320	1.1990824
A_51_P105339	4.705346
A_51_P105380	-3.1776705
A_51_P105408	2.0361652
A_51_P105445	-1.925982
A_51_P105480	-4.0322294
A_51_P105520	5.581231
A_51_P105554	-5.2633543
A_51_P105589	4.5998526
A_51_P105604	1.0590973
A_51_P105709	3.2130785
A_51_P105755	-1.9217434
A_51_P105766	-6.4705544
A_51_P105800	-1.9871845
A_51_P105810	3.4878178
A_51_P105822	-4.164759
A_51_P105837	2.691104
A_51_P105847	-6.461573
A_51_P105869	-2.0753675
A_51_P105879	-6.522083
A_51_P105887	-6.4369416
A_51_P105908	-3.710669
A_51_P105927	-0.56775665
A_51_P105986	2.8264847
A_51_P105991	-2.8153753
A_51_P106000	-1.8484368
A_51_P106059	4.9274874
A_51_P106114	-6.052679
A_51_P106144	1.7654648
A_51_P106191	0.81635
A_51_P106202	-6.516559
A_51_P106211	-0.385468
A_51_P106227	2.6242294
A_51_P106249	-4.922455
A_51_P106259	1.0716066
A_51_P106263	0.06637478
A_51_P106269	-5.404493
A_51_P106294	-6.110867
A_51_P106322	1.3037376
A_51_P106373	3.8691902
A_51_P106377	-4.9342628
A_51_P106397	-2.457858
A_51_P106428	3.5267305
A_51_P106443	-1.8300047
A_51_P106455	-6.357992
A_51_P106474	0.11906052
A_51_P106488	3.5443125
A_51_P106527	3.7756815
A_51_P106538	0.76886654
A_51_P106591	-3.745369
A_51_P106634	-6.464706
A_51_P106735	-6.4672475
A_51_P106743	3.782096
A_51_P106745	1.7777681
A_51_P106752	-2.3995843
A_51_P106779	-0.08346939
A_51_P106799	-1.7141609
A_51_P106859	3.5837173
A_51_P106868	3.4050817
A_51_P106893	-3.3819537
A_51_P106900	-6.54547
A_51_P106918	-6.487541
A_51_P106952	1.1132126
A_51_P106968	-6.538898
A_51_P106979	-6.254433
A_51_P107020	-3.7907653
A_51_P107039	-2.8135128
A_51_P107053	-5.3447514
A_51_P107066	-1.771666
A_51_P107090	2.0721197
A_51_P107099	-6.4939184
A_51_P107126	2.9772987
A_51_P107140	-5.7309337
A_51_P107176	-6.530379
A_51_P107234	4.1965904
A_51_P107243	-0.26305294
A_51_P107265	2.4084759
A_51_P107282	0.75318146
A_51_P107302	-3.060439
A_51_P107315	-5.378313
A_51_P107321	4.105028
A_51_P107326	6.9951057
A_51_P107362	-0.07534218
A_51_P107373	-6.574396
A_51_P107378	3.0156593
A_51_P107433	3.7804594
A_51_P107438	-0.03591633
A_51_P107463	-5.3884015
A_51_P107547	2.7965117
A_51_P107558	-6.4862404
A_51_P107591	-6.59865
A_51_P107599	4.8536463
A_51_P107633	-6.6051464
A_51_P107652	-6.468456
A_51_P107658	-3.9569526
A_51_P107673	-5.200817
A_51_P107686	1.0210476
A_51_P107701	-5.654642
A_51_P107722	-6.512433
A_51_P107738	-4.9635105
A_51_P107752	-1.7342219
A_51_P107765	-6.584125
A_51_P107782	1.6822433
A_51_P107807	-4.858447
A_51_P107808	-1.9969568
A_51_P107901	-6.5804443
A_51_P107934	-6.526517
A_51_P107938	-2.7570682
A_51_P107959	-6.13037
A_51_P107985	-6.56409
A_51_P107991	-2.0567245
A_51_P107998	-2.2544136
A_51_P108020	-3.4220977
A_51_P108031	-6.4695406
A_51_P108038	-5.0600777
A_51_P108051	3.2346992
A_51_P108072	-4.730784
A_51_P108108	-3.0862737
A_51_P108131	-0.43508196
A_51_P108173	1.2318192
A_51_P108183	-6.483395
A_51_P108190	4.1140747
A_51_P108226	-6.0513763
A_51_P108228	-6.540347
A_51_P108252	2.3782206
A_51_P108266	-6.5554166
A_51_P108269	2.322256
A_51_P108309	-6.491154
A_51_P108334	7.620475
A_51_P108384	-5.9882298
A_51_P108408	1.2236557
A_51_P108428	-2.4465656
A_51_P108432	-6.4212403
A_51_P108459	-4.5392523
A_51_P108478	2.3955421
A_51_P108484	1.9189005
A_51_P108489	2.6846008
A_51_P108525	0.97055435
A_51_P108555	-5.1073055
A_51_P108573	-1.8702979
A_51_P108581	-4.95129
A_51_P108606	-6.6031075
A_51_P108629	-2.180499
A_51_P108645	-1.604547
A_51_P108659	-6.5314417
A_51_P108701	4.8938646
A_51_P108723	1.7662945
A_51_P108731	0.037646294
A_51_P108741	-6.493549
A_51_P108757	2.9283333
A_51_P108767	-0.091757774
A_51_P108778	0.44722462
A_51_P108779	2.8737984
A_51_P108788	-5.1258345
A_51_P108812	-5.25461
A_51_P108853	-0.31620836
A_51_P108862	5.7649994
A_51_P108891	3.0249825
A_51_P108901	2.1128235
A_51_P108923	-4.6245565
A_51_P108935	2.1213684
A_51_P108948	2.7728472
A_51_P108973	-6.3307285
A_51_P108978	1.5451918
A_51_P108990	-2.4341626
A_51_P109050	1.3150206
A_51_P109060	-6.5871067
A_51_P109097	-6.534958
A_51_P109099	-4.9411077
A_51_P109119	-6.561609
A_51_P109131	-6.58164
A_51_P109144	-1.5153503
A_51_P109171	3.5939837
A_51_P109258	-6.500669
A_51_P109274	-6.581174
A_51_P109295	-6.1775765
A_51_P109298	-6.526078
A_51_P109326	-6.379075
A_51_P109335	3.422309
A_51_P109357	-6.49555
A_51_P109364	0.23634243
A_51_P109369	-0.6619344
A_51_P109412	-6.418026
A_51_P109421	2.156395
A_51_P109439	-5.297518
A_51_P109449	-2.9571805
A_51_P109469	-3.6995564
A_51_P109496	0.9742212
A_51_P109508	-3.0085092
A_51_P109541	0.35005474
A_51_P109548	-6.48586
A_51_P109649	-5.2535167
A_51_P109668	0.6989775
A_51_P109692	-4.830305
A_51_P109699	-6.563237
A_51_P109708	-3.4142861
A_51_P109741	-0.1561079
A_51_P109742	-1.6342063
A_51_P109766	5.2448483
A_51_P109798	-6.294394
A_51_P109828	5.739071
A_51_P109835	4.338436
A_51_P109840	-3.825088
A_51_P109864	-6.6298933
A_51_P109881	-1.6038213
A_51_P109888	0.39458275
A_51_P109923	-0.025751114
A_51_P109933	-1.0803509
A_51_P109939	4.514494
A_51_P109976	-4.158111
A_51_P110035	1.1728973
A_51_P110068	1.399539
A_51_P110081	-0.16975307
A_51_P110088	-6.4419713
A_51_P110108	-1.0400057
A_51_P110147	2.7545557
A_51_P110165	-2.941152
A_51_P110168	-1.9575133
A_51_P110173	-0.89282846
A_51_P110189	-1.973866
A_51_P110220	-6.481309
A_51_P110283	-6.4700413
A_51_P110289	-4.9734774
A_51_P110301	-0.64217615
A_51_P110317	-6.296418
A_51_P110323	-4.773299
A_51_P110329	-4.630307
A_51_P110341	-3.92201
A_51_P110371	-1.5989571
A_51_P110381	-6.0357146
A_51_P110395	1.8592825
A_51_P110421	-5.4504547
A_51_P110455	4.5341806
A_51_P110471	1.3440657
A_51_P110529	-4.271735
A_51_P110547	-6.482486
A_51_P110576	2.9081793
A_51_P110618	-6.604914
A_51_P110640	-6.3484597
A_51_P110651	1.6622419
A_51_P110672	-6.543471
A_51_P110689	2.959612
A_51_P110699	-3.4597244
A_51_P110725	-5.073785
A_51_P110759	-4.7977324
A_51_P110791	-4.988532
A_51_P110814	5.593128
A_51_P110830	-6.4199758
A_51_P110841	1.9842215
A_51_P110863	-4.391556
A_51_P110873	-6.05671
A_51_P110914	-4.1333423
A_51_P110931	1.0264101
A_51_P110938	-3.8115911
A_51_P111003	0.11866093
A_51_P111018	-0.95464087
A_51_P111068	-3.2596374
A_51_P111094	-6.5004716
A_51_P111143	4.768634
A_51_P111164	0.2321186
A_51_P111192	-3.3530612
A_51_P111210	3.7199545
A_51_P111212	1.3687859
A_51_P111223	-4.557298
A_51_P111233	-6.478059
A_51_P111245	-0.052444458
A_51_P111259	1.9027224
A_51_P111285	-3.0905743
A_51_P111293	-2.3671327
A_51_P111325	-4.83099
A_51_P111335	-5.331831
A_51_P111380	0.54046917
A_51_P111434	-5.566392
A_51_P111455	-1.716516
A_51_P111462	2.0184336
A_51_P111488	0.64232063
A_51_P111492	0.62223625
A_51_P111513	-6.49314
A_51_P111532	-4.557787
A_51_P111544	5.2502565
A_51_P111554	0.19566154
A_51_P111562	0.08603382
A_51_P111583	2.2191162
A_51_P111595	2.426175
A_51_P111612	-3.164495
A_51_P111655	-6.492809
A_51_P111669	-6.5579567
A_51_P111704	-6.483824
A_51_P111757	2.358674
A_51_P111762	2.652361
A_51_P111796	-0.22172165
A_51_P111902	-4.446163
A_51_P111907	-1.7916903
A_51_P111936	3.3062
A_51_P111950	-6.4670115
A_51_P111952	4.473276
A_51_P111962	-4.4675283
A_51_P112026	-5.8339634
A_51_P112066	1.9622383
A_51_P112116	0.40798187
A_51_P112151	-2.904748
A_51_P112174	-2.1246839
A_51_P112182	-3.8883233
A_51_P112203	-0.010984421
A_51_P112223	2.216959
A_51_P112237	-0.7520428
A_51_P112308	-2.9907084
A_51_P112319	-6.5335226
A_51_P112322	-0.5121889
A_51_P112355	0.6845789
A_51_P112405	-1.4089813
A_51_P112427	-6.5663786
A_51_P112445	2.5385685
A_51_P112456	-5.944505
A_51_P112465	-5.5810146
A_51_P112476	-5.178337
A_51_P112518	-6.488877
A_51_P112529	0.07751942
A_51_P112557	5.148177
A_51_P112592	-3.4445891
A_51_P112627	-3.301015
A_51_P112639	-2.3600235
A_51_P112644	1.5465851
