Reporter Identifier	VALUE
A_51_P100021	-6.556507
A_51_P100034	2.1583195
A_51_P100052	-6.60579
A_51_P100063	-6.6763716
A_51_P100084	-2.550084
A_51_P100099	0.102365494
A_51_P100155	2.6116066
A_51_P100174	4.100445
A_51_P100181	-0.92212343
A_51_P100218	-6.644197
A_51_P100227	2.7828999
A_51_P100238	-6.6226845
A_51_P100246	3.0876684
A_51_P100289	2.2698765
A_51_P100298	-2.940648
A_51_P100309	-6.483383
A_51_P100327	-1.2785773
A_51_P100347	-6.177821
A_51_P100379	-3.2898154
A_51_P100428	-6.378952
A_51_P100470	-3.7178407
A_51_P100505	-0.45465755
A_51_P100519	-6.5280895
A_51_P100527	-6.598232
A_51_P100537	-6.269685
A_51_P100565	0.5615034
A_51_P100573	-0.970109
A_51_P100624	-6.5373516
A_51_P100625	-4.9070497
A_51_P100768	-6.5803766
A_51_P100776	-4.391585
A_51_P100787	2.9894953
A_51_P100828	3.2641811
A_51_P100852	-4.2154646
A_51_P100856	0.09113026
A_51_P100866	6.484005
A_51_P100991	-2.877769
A_51_P100997	-3.2920122
A_51_P101004	-6.514413
A_51_P101006	-1.1034989
A_51_P101022	-6.674484
A_51_P101034	-5.3592596
A_51_P101065	-6.5609093
A_51_P101075	4.2898254
A_51_P101086	-1.3993902
A_51_P101137	2.1231594
A_51_P101146	-5.30791
A_51_P101170	-5.9604197
A_51_P101196	4.5558662
A_51_P101228	-1.1029129
A_51_P101255	3.0876608
A_51_P101283	-4.2292304
A_51_P101317	0.58329296
A_51_P101347	-5.90269
A_51_P101375	-3.3250232
A_51_P101388	-1.983079
A_51_P101425	-1.7458844
A_51_P101460	-6.66973
A_51_P101474	-3.5995936
A_51_P101506	-2.18394
A_51_P101545	-4.574924
A_51_P101573	2.6401978
A_51_P101576	-0.12714005
A_51_P101588	-3.8574786
A_51_P101621	0.9190788
A_51_P101627	-6.6079063
A_51_P101635	4.9393415
A_51_P101660	-1.0912709
A_51_P101719	-1.4317555
A_51_P101729	-6.5616293
A_51_P101763	-4.7268505
A_51_P101765	0.4303646
A_51_P101777	1.1246185
A_51_P101787	0.0250206
A_51_P101858	-2.5199957
A_51_P101879	4.263796
A_51_P101929	2.959468
A_51_P101950	-6.6877155
A_51_P101955	3.0487232
A_51_P101975	-3.055873
A_51_P101985	-6.3506227
A_51_P102005	-6.122367
A_51_P102081	-4.95934
A_51_P102090	-4.9285297
A_51_P102096	2.3531876
A_51_P102106	-6.421883
A_51_P102122	-6.509177
A_51_P102174	-2.396492
A_51_P102180	-3.3639917
A_51_P102235	3.922059
A_51_P102249	-6.517247
A_51_P102257	-4.7533813
A_51_P102296	-3.4786649
A_51_P102311	-1.2988491
A_51_P102319	-3.291954
A_51_P102339	0.5036497
A_51_P102355	-2.4690032
A_51_P102393	-6.6612406
A_51_P102421	-5.4378195
A_51_P102438	-6.6106577
A_51_P102459	-4.34601
A_51_P102471	-5.936884
A_51_P102487	-5.73372
A_51_P102503	1.84093
A_51_P102507	0.97440815
A_51_P102518	-6.501908
A_51_P102538	-4.5111866
A_51_P102607	-6.584894
A_51_P102631	0.62054825
A_51_P102652	-0.0695734
A_51_P102731	-6.620896
A_51_P102734	-4.105372
A_51_P102740	-6.5242424
A_51_P102782	1.4467697
A_51_P102789	0.56235886
A_51_P102809	2.2020683
A_51_P102860	-0.48464298
A_51_P102867	-1.3361177
A_51_P102883	-3.7139044
A_51_P102911	1.2258787
A_51_P102943	0.35971832
A_51_P102970	-6.5177007
A_51_P102987	-5.108775
A_51_P103000	2.9043245
A_51_P103007	-6.5630674
A_51_P103054	-6.594805
A_51_P103069	1.7542725
A_51_P103081	-4.8852377
A_51_P103114	-3.7147279
A_51_P103117	-6.423634
A_51_P103133	-4.736353
A_51_P103144	-6.616286
A_51_P103172	-4.653075
A_51_P103179	-6.6820736
A_51_P103209	2.266446
